ID,Year,Games_Won,Games_Lost,Games_Drawn,Points_For,Points_Against,Percentage,Ladder_Position,Finals,Teams,Average_Age,Ladder_Position_Prev,Teams_Prev,Ladder_Position_Next,Teams_Next,Close_Games_Won,Close_Games_Lost,Away_Games_Won,Last_Five,Average_Attendance,Players_Used,Victorian
628,201x,12,9,1,1828,1719,106.34,7,Finalist,18,24.9,9.0,18.0,15,18,6,3,5,2,45936.0,35,True
1347,201x,3,19,0,1509,2481,60.82,17,,18,22.7,17.0,17.0,14,18,1,3,1,2,17604.0,44,False
321,201x,12,9,1,1891,1677,112.76,6,Finalist,17,25.1,3.0,16.0,9,18,1,2,6,2,35697.0,38,True
1142,197x,9,12,1,1947,2327,83.67,9,,12,23.0,12.0,12.0,12,12,2,1,5,3,14984.0,31,False
188,197x,1,21,0,1628,2589,62.88,12,,12,21.5,9.0,12.0,6,12,1,1,0,0,12388.0,38,True
959,190x,11,6,0,865,636,136.01,3,Finalist,8,24.4,6.0,8.0,2,8,2,3,5,2,16600.0,35,True
114,189x,10,4,0,685,473,144.82,3,Finalist,8,22.6,,,6,8,2,4,4,1,4933.0,38,True
539,197x,13,8,1,1899,1746,108.76,5,Finalist,12,22.4,9.0,12.0,7,12,2,1,5,4,22353.0,38,True
1160,191x,7,10,1,989,1003,98.6,7,,10,25.4,9.0,10.0,6,10,2,3,3,3,7556.0,36,True
103,193x,12,6,0,1986,1707,116.34,5,,12,24.7,3.0,12.0,3,12,3,0,4,3,22667.0,34,True
1012,191x,5,9,0,752,857,87.75,6,,8,24.1,6.0,6.0,4,9,2,3,3,1,,33,True
1113,197x,7,15,0,1994,2369,84.17,10,,12,22.7,10.0,12.0,11,12,3,2,3,2,17988.0,38,True
1487,192x,1,17,0,1087,1722,63.12,12,,12,23.9,11.0,12.0,12,12,0,2,1,1,7876.0,40,True
273,194x,8,10,0,1397,1552,90.01,8,,12,24.1,10.0,12.0,3,11,3,2,3,1,11062.0,43,False
1587,195x,6,12,0,1277,1471,86.81,10,,12,22.9,6.0,12.0,7,12,2,3,3,2,19799.0,37,True
305,201x,5,17,0,1825,2049,89.07,15,,18,24.3,18.0,18.0,2,18,1,5,3,1,21647.0,34,False
710,191x,4,14,0,802,1347,59.54,9,,10,23.7,5.0,10.0,7,10,2,1,2,2,6460.0,40,True
473,190x,8,9,1,945,930,101.61,6,,10,24.7,7.0,10.0,8,10,1,1,5,1,6425.0,31,True
1061,201x,11,11,0,1857,1913,97.07,10,,18,24.9,7.0,18.0,13,18,3,4,4,2,33156.0,37,True
1156,190x,10,7,1,1023,962,106.34,5,,10,24.2,8.0,10.0,9,10,3,1,5,3,12108.0,38,True
387,193x,15,3,0,1618,1334,121.29,1,Premier,12,25.4,1.0,12.0,4,12,3,1,6,5,23304.0,29,True
824,189x,8,5,1,595,430,138.37,5,,8,25.4,,,5,8,3,2,4,3,,28,False
132,202x,7,15,0,1430,1863,76.76,16,,18,24.4,14.0,18.0,12,18,2,5,3,1,14646.0,38,False
821,201x,13,9,0,2062,1937,106.45,8,Finalist,18,26.3,6.0,18.0,8,18,3,1,6,2,30936.0,34,True
1258,193x,13,5,0,1806,1550,116.52,4,Finalist,12,24.3,8.0,12.0,11,12,0,0,6,3,22248.0,32,True
365,201x,14,8,0,2299,1749,131.45,5,Finalist,18,24.9,9.0,18.0,17,18,0,5,8,4,42440.0,37,True
1433,194x,11,7,1,1738,1546,112.42,5,,12,24.5,2.0,12.0,3,12,1,3,4,1,23200.0,33,True
216,195x,6,12,0,1258,1421,88.53,9,,12,22.7,11.0,12.0,8,12,1,2,3,0,17764.0,39,True
146,198x,19,3,0,2755,1991,138.37,1,Premier,12,25.4,1.0,12.0,5,12,2,0,8,5,30437.0,34,True
1168,201x,6,16,0,1780,2320,76.72,16,,18,22.4,18.0,18.0,11,18,2,4,3,2,16083.0,44,False
1083,199x,12,10,0,2051,1835,111.77,7,Finalist,16,24.8,2.0,16.0,1,16,1,4,4,3,36873.0,33,True
731,190x,14,4,0,1160,814,142.51,2,Runner-up,10,23.5,8.0,8.0,4,10,5,4,6,3,41128.0,34,True
1287,200x,2,19,1,1855,2631,70.51,16,,16,24.2,10.0,16.0,15,16,0,1,0,0,26122.0,38,True
773,190x,8,9,0,727,730,99.59,6,,8,25.2,5.0,8.0,5,8,3,4,5,1,,33,False
590,194x,12,6,0,1743,1571,110.95,5,,12,23.1,8.0,12.0,10,11,3,2,7,3,13697.0,35,True
1018,198x,4,18,0,2201,2575,85.48,10,,12,23.6,2.0,12.0,6,12,1,4,2,1,28928.0,43,True
871,195x,11,7,0,1323,1159,114.15,4,Finalist,12,22.8,5.0,12.0,6,12,4,4,6,3,34177.0,37,True
10,202x,10,12,0,1806,1638,110.26,11,,18,25.5,2.0,18.0,3,18,2,5,3,2,26614.0,37,False
1446,198x,5,17,0,1930,2266,85.17,10,,12,24.3,11.0,12.0,11,12,0,4,2,1,21604.0,40,True
291,202x,16,7,0,2079,1660,125.24,4,Finalist,18,26.3,2.0,18.0,14,18,4,7,7,2,43860.0,34,True
300,202x,7,15,0,1737,2087,83.23,15,,18,24.3,8.0,18.0,11,18,3,3,2,1,39864.0,39,True
622,197x,11,11,0,1858,1989,93.41,6,,12,22.8,11.0,12.0,11,12,6,1,6,4,18044.0,40,True
567,199x,14,8,0,2009,1956,102.71,4,Finalist,16,24.4,16.0,16.0,14,16,2,0,6,4,39673.0,36,True
135,190x,3,14,0,593,925,64.11,7,,8,24.1,4.0,8.0,6,8,1,4,1,1,,35,True
332,190x,6,12,0,825,1282,64.35,8,,10,23.3,9.0,10.0,7,10,3,1,3,1,11935.0,40,True
1318,201x,11,11,0,1930,2208,87.41,9,,16,23.6,13.0,16.0,9,17,3,1,4,3,27436.0,37,True
826,199x,9,12,1,1815,2064,87.94,10,,15,24.4,7.0,14.0,2,15,2,1,2,2,19081.0,38,True
634,201x,6,15,1,1695,2162,78.4,14,,18,24.2,18.0,18.0,9,18,2,3,5,0,26853.0,38,True
1450,202x,17,5,0,1884,1492,126.27,2,Finalist,18,25.4,1.0,18.0,11,18,5,0,9,4,26017.0,35,False
576,191x,12,5,1,1113,1017,109.44,2,Runner-up,10,24.6,2.0,10.0,5,9,6,2,6,4,18468.0,32,False
741,197x,11,11,0,1966,2217,88.68,8,,12,21.6,7.0,12.0,7,12,6,1,4,1,18934.0,42,True
1323,199x,11,11,0,2184,2128,102.63,8,Finalist,16,24.6,3.0,16.0,10,16,1,2,5,2,35347.0,37,False
164,193x,13,5,0,1897,1468,129.22,2,Finalist,12,25.1,1.0,12.0,7,12,2,2,6,3,18524.0,32,True
1603,198x,11,11,0,1959,1958,100.05,7,,14,26.0,7.0,14.0,13,14,4,4,4,4,12966.0,38,False
529,199x,7,15,0,1857,1975,94.03,15,,16,25.0,6.0,15.0,8,16,1,6,3,0,26104.0,34,True
1359,199x,13,9,0,2203,2017,109.22,6,Finalist,15,25.1,1.0,14.0,8,15,3,2,6,2,27883.0,38,True
202,199x,17,5,0,2463,2129,115.69,2,Premier,16,25.1,1.0,16.0,4,16,6,2,7,5,34814.0,34,True
1344,190x,1,16,0,439,1172,37.46,8,,8,23.6,8.0,8.0,8,8,1,2,0,0,,39,True
575,199x,16,6,0,2195,1911,114.86,3,Finalist,15,24.7,7.0,15.0,8,15,6,4,9,3,48116.0,35,True
420,200x,5,16,1,1774,2388,74.29,15,,16,24.1,9.0,16.0,15,16,3,2,4,1,39493.0,40,True
99,200x,11,11,0,2068,2221,93.11,9,,16,23.7,12.0,16.0,4,16,4,4,6,2,38814.0,37,True
1480,201x,17,5,0,2518,1702,147.94,2,Finalist,16,25.6,2.0,16.0,2,17,2,3,7,3,47495.0,35,True
625,196x,5,13,0,1126,1428,78.85,10,,12,21.8,12.0,12.0,8,12,1,3,3,0,20803.0,38,True
162,200x,12,8,2,2326,1982,117.36,7,Finalist,16,23.9,8.0,16.0,7,16,1,2,4,1,34335.0,36,False
429,191x,7,9,0,924,977,94.58,6,,9,25.0,8.0,8.0,6,9,1,1,3,2,,33,True
1169,195x,5,13,0,1438,1904,75.53,11,,12,23.3,10.0,12.0,8,12,2,3,2,2,14778.0,40,False
489,200x,12,10,0,1881,1712,109.87,8,Finalist,16,25.7,2.0,16.0,5,16,2,4,6,3,35891.0,34,False
880,196x,9,10,1,1934,1869,103.48,6,,12,22.8,10.0,12.0,5,12,2,5,5,3,16575.0,34,True
727,199x,13,7,0,2166,1858,116.58,4,Finalist,15,25.7,5.0,15.0,6,15,2,1,6,2,30291.0,32,True
1059,191x,8,6,0,862,740,116.49,3,Finalist,8,25.7,2.0,6.0,3,9,2,3,3,2,36116.0,35,True
459,196x,4,14,0,1200,1742,68.89,12,,12,23.0,5.0,12.0,9,12,1,2,2,2,17122.0,40,True
695,193x,12,6,0,1796,1459,123.1,5,,12,25.4,1.0,12.0,5,12,2,2,4,4,20694.0,27,True
185,201x,5,17,0,1542,2301,67.01,15,,18,24.0,10.0,17.0,15,18,0,0,3,0,23953.0,39,True
400,200x,12,10,0,2267,2038,111.24,8,Finalist,16,24.2,6.0,16.0,4,16,1,3,5,3,56741.0,37,True
1395,201x,16,6,0,2380,1663,143.11,4,Finalist,18,24.3,11.0,18.0,4,18,1,4,7,3,20217.0,35,False
722,190x,8,9,0,809,716,112.99,6,Premier,8,23.8,5.0,8.0,5,8,3,4,2,4,18090.0,32,True
1345,200x,16,6,0,2447,1783,137.24,2,Runner-up,16,25.7,3.0,16.0,11,16,2,2,6,4,36687.0,32,False
811,194x,10,5,0,1435,1166,123.07,1,Premier,11,24.9,2.0,11.0,1,12,1,3,6,4,16863.0,39,True
1608,191x,9,6,1,1074,857,125.32,5,,9,26.3,5.0,8.0,2,9,2,2,3,2,4085.0,33,True
1524,198x,9,13,0,2150,2369,90.76,10,,14,23.8,12.0,12.0,14,14,1,3,1,3,17455.0,39,True
993,191x,13,3,2,1122,865,129.71,1,Premier,10,25.0,6.0,10.0,2,9,7,0,6,4,19080.0,35,True
1236,197x,9,13,0,1987,2253,88.19,10,,12,22.9,8.0,12.0,9,12,5,2,5,1,20806.0,40,True
1489,196x,13,4,1,1626,1320,123.18,5,,12,22.5,5.0,12.0,1,12,2,1,7,3,33862.0,38,True
1404,190x,5,12,0,774,1046,74.0,8,,8,23.4,4.0,8.0,2,10,1,2,1,2,,39,True
737,194x,8,7,0,1405,1340,104.85,6,,11,26.5,7.0,12.0,3,11,1,1,4,2,8933.0,40,True
303,199x,12,10,0,2519,2210,113.98,6,,14,22.7,9.0,14.0,8,15,0,2,6,3,19526.0,35,True
611,201x,2,20,0,1353,2282,59.29,18,,18,24.4,16.0,18.0,16,18,0,1,1,1,34231.0,37,True
1127,200x,15,7,0,2162,1935,111.73,3,Finalist,16,24.0,1.0,16.0,15,16,3,2,7,3,38178.0,34,False
90,200x,12,9,1,2234,2306,96.88,5,Finalist,16,24.0,11.0,16.0,12,16,7,3,5,2,31515.0,37,True
43,196x,5,13,0,1279,1687,75.82,10,,12,21.9,8.0,12.0,9,12,2,2,4,2,20108.0,36,True
137,192x,10,5,1,1091,1003,108.77,3,Premier,9,26.3,5.0,9.0,2,9,5,3,4,5,23007.0,32,True
658,193x,11,7,0,1708,1545,110.55,5,,12,26.0,7.0,12.0,7,12,2,1,5,3,17678.0,34,True
649,201x,12,10,0,1964,1858,105.71,8,Finalist,18,26.6,6.0,18.0,2,18,4,6,4,3,32071.0,34,False
769,196x,10,8,0,1408,1189,118.42,6,,12,22.6,4.0,12.0,1,12,0,4,2,4,25461.0,32,True
1499,192x,12,5,0,1377,1083,127.15,4,Runner-up,12,24.0,6.0,9.0,1,12,2,3,5,3,24758.0,31,True
852,198x,13,9,0,2260,2072,109.07,4,Finalist,12,23.8,6.0,12.0,7,12,2,2,6,3,37244.0,41,True
171,193x,7,11,0,1413,1675,84.36,8,,12,24.7,9.0,12.0,11,12,3,2,2,3,9617.0,34,True
299,196x,15,3,0,1687,1073,157.22,1,Runner-up,12,22.2,2.0,12.0,4,12,1,2,7,4,38329.0,36,True
1532,202x,16,6,0,1839,1763,104.31,4,Finalist,18,25.2,17.0,18.0,1,18,11,3,8,2,52493.0,38,True
1172,194x,12,7,0,1499,1453,103.17,4,Finalist,12,23.9,9.0,12.0,9,12,4,1,5,4,18351.0,37,True
358,194x,10,8,0,1619,1614,100.31,6,,12,26.3,9.0,11.0,3,12,2,1,4,2,11694.0,45,True
586,189x,13,4,0,750,523,143.4,3,Premier,8,23.4,6.0,8.0,1,8,4,0,5,5,14829.0,33,True
1270,193x,12,6,0,1589,1281,124.04,4,Finalist,12,24.8,1.0,12.0,3,12,3,1,4,2,19372.0,31,True
1610,193x,5,13,0,1543,1742,88.58,10,,12,24.6,7.0,12.0,8,12,0,5,2,1,13170.0,41,True
835,200x,7,15,0,1754,2167,80.94,14,,16,24.7,5.0,16.0,4,16,1,3,2,1,28849.0,36,True
947,200x,14,8,0,2557,2159,118.43,3,Runner-up,16,24.2,14.0,16.0,11,16,2,2,5,4,39176.0,35,True
1070,199x,11,9,0,1978,1997,99.05,9,,15,24.4,2.0,15.0,5,15,2,0,5,3,24275.0,37,True
1039,197x,3,19,0,1618,2315,69.89,12,,12,22.4,4.0,12.0,11,12,1,5,2,1,15470.0,46,False
470,194x,8,10,1,1602,1652,96.97,8,,12,25.2,7.0,12.0,10,12,2,4,5,1,19395.0,43,False
385,192x,6,10,1,981,1131,86.74,7,,12,24.6,4.0,9.0,7,12,1,3,3,1,17558.0,39,True
343,198x,7,15,0,1806,2421,74.6,13,,14,26.0,13.0,14.0,10,14,4,4,3,1,14084.0,37,False
859,201x,14,8,0,2093,1651,126.77,6,Finalist,18,24.8,1.0,18.0,6,18,3,3,7,4,37365.0,35,False
1429,198x,19,3,0,2791,1962,142.25,1,Premier,14,25.3,2.0,14.0,1,14,1,0,8,5,26032.0,33,True
1504,200x,14,8,0,2104,1789,117.61,5,Finalist,16,24.6,5.0,16.0,11,16,1,2,7,4,36402.0,34,False
799,200x,17,5,0,2520,1843,136.73,2,Premier,16,25.0,2.0,16.0,3,16,1,3,6,4,32956.0,30,False
970,199x,11,9,0,2086,2060,101.26,8,,15,25.3,3.0,15.0,8,15,1,1,6,1,44406.0,34,True
1620,194x,13,4,1,1886,1438,131.15,1,Runner-up,12,24.7,1.0,11.0,7,12,0,3,6,3,23214.0,34,True
753,197x,11,10,1,2330,2503,93.09,6,,12,24.5,12.0,12.0,12,12,4,0,5,4,26186.0,35,True
338,202x,12,4,1,1135,874,129.86,3,Premier,18,25.7,3.0,18.0,12,18,2,0,5,4,10108.0,33,True
693,192x,5,10,1,908,1073,84.62,7,,9,25.3,5.0,9.0,9,9,1,2,1,1,16337.0,34,False
327,194x,10,9,0,1627,1528,106.48,7,,12,25.5,1.0,12.0,8,12,3,3,4,4,19579.0,44,False
1249,197x,8,14,0,2258,2339,96.54,9,,12,23.7,10.0,12.0,4,12,2,8,3,2,16566.0,38,True
1293,191x,10,7,1,1114,928,120.04,5,,10,24.9,3.0,10.0,1,9,3,2,4,3,8016.0,31,True
174,200x,11,10,1,2185,2223,98.29,10,,16,24.7,7.0,16.0,10,16,5,4,6,2,29812.0,34,True
12,199x,12,10,0,2068,1937,106.76,5,Finalist,16,24.3,7.0,16.0,13,16,3,2,5,1,30934.0,33,False
178,197x,11,11,0,1982,1954,101.43,6,,12,24.1,10.0,12.0,9,12,3,2,4,2,20552.0,32,True
267,200x,15,6,1,2506,2112,118.66,3,Finalist,16,25.0,13.0,16.0,3,16,3,3,7,2,35500.0,32,True
1066,196x,15,5,0,1751,1343,130.38,2,Premier,12,23.1,2.0,12.0,2,12,3,1,7,5,30930.0,34,True
987,198x,15,7,0,2675,2078,128.73,2,Premier,12,25.0,2.0,12.0,2,12,2,2,9,5,26241.0,34,True
1084,195x,8,10,0,1262,1342,94.04,8,,12,22.8,9.0,12.0,7,12,3,3,2,1,17908.0,39,True
144,202x,13,9,1,1922,1697,113.26,5,Finalist,18,25.5,9.0,18.0,8,18,6,0,8,3,53190.0,37,True
564,191x,4,14,0,816,1143,71.39,9,,10,23.8,6.0,10.0,9,10,2,2,1,1,7182.0,42,True
972,195x,13,4,1,1731,1213,142.7,1,Premier,12,24.1,1.0,12.0,1,12,1,2,5,5,34832.0,27,True
971,202x,14,3,0,1185,869,136.36,1,Finalist,18,26.0,10.0,18.0,2,18,2,1,6,4,8658.0,30,False
1565,194x,9,10,0,1722,1540,111.82,8,,12,23.5,9.0,12.0,4,12,0,5,2,1,17869.0,37,True
573,196x,15,5,0,1528,1431,106.78,3,Finalist,12,23.1,3.0,12.0,3,12,5,1,6,3,29014.0,30,True
145,197x,10,12,0,2043,1929,105.91,8,,12,22.8,7.0,12.0,10,12,1,4,4,3,22882.0,40,True
1415,201x,14,8,0,2180,1678,129.92,5,Finalist,18,24.6,7.0,18.0,9,18,2,6,5,3,37633.0,33,False
1245,200x,13,9,0,2081,1897,109.7,4,Runner-up,16,24.1,9.0,16.0,2,16,5,4,4,3,52946.0,32,True
231,201x,13,9,0,1926,1669,115.4,6,Runner-up,18,25.2,7.0,18.0,10,18,5,1,6,4,25352.0,38,False
1569,199x,7,14,1,2360,2778,84.95,12,,15,25.1,13.0,14.0,15,15,2,2,3,1,15490.0,39,False
419,199x,13,7,0,2597,2150,120.79,3,Finalist,15,24.5,12.0,15.0,3,15,1,4,7,2,27213.0,31,True
334,198x,6,16,0,2219,2349,94.47,10,,12,24.3,10.0,12.0,2,12,1,2,2,1,12919.0,40,False
308,196x,16,2,0,1574,1207,130.41,1,Premier,12,22.8,7.0,12.0,5,12,5,0,7,4,37980.0,31,True
1013,196x,7,11,0,1486,1505,98.74,8,,12,22.8,8.0,12.0,9,12,0,4,3,2,20916.0,39,False
1304,196x,15,5,0,2260,1875,120.53,2,Runner-up,12,23.3,2.0,12.0,2,12,4,1,8,2,33930.0,34,True
1513,200x,8,14,0,1899,2082,91.21,13,,16,23.4,2.0,16.0,15,16,3,4,3,2,44437.0,37,True
1502,201x,6,16,0,1580,2134,74.04,15,,18,25.2,7.0,18.0,18,18,4,2,3,1,40652.0,41,True
200,195x,8,10,0,1177,1337,88.03,9,,12,23.0,12.0,12.0,8,12,5,4,3,1,19360.0,35,True
999,198x,7,15,0,1853,2425,76.41,12,,14,22.7,6.0,12.0,2,14,4,3,2,2,24727.0,45,True
588,190x,14,3,0,853,597,142.88,1,Finalist,8,25.6,2.0,8.0,7,8,5,1,7,3,10000.0,33,True
516,199x,11,11,0,2282,1944,117.39,9,,16,23.6,3.0,16.0,13,16,0,3,5,2,38680.0,36,True
620,198x,5,17,0,2199,2667,82.45,14,,14,24.1,10.0,12.0,10,14,1,1,1,1,17715.0,39,True
864,198x,12,10,0,2169,2176,99.68,7,,14,26.0,3.0,14.0,7,14,5,0,6,3,13824.0,37,False
1447,202x,12,10,1,2050,1863,110.04,8,Finalist,18,25.2,3.0,18.0,1,18,5,3,7,3,37034.0,36,False
3,196x,8,10,0,1231,1411,87.24,8,,12,23.7,7.0,12.0,9,12,2,3,3,1,17871.0,38,True
1254,199x,15,6,1,2363,1993,118.56,4,Finalist,16,25.4,2.0,16.0,7,16,3,5,7,3,28517.0,33,True
479,199x,16,6,0,3057,2099,145.64,1,Runner-up,15,24.8,3.0,15.0,7,15,2,1,8,3,36414.0,34,True
330,200x,11,11,0,1938,2107,91.98,10,,16,23.9,6.0,16.0,9,16,5,1,4,2,35296.0,35,True
5,197x,14,8,0,1989,1721,115.57,4,Finalist,12,23.9,2.0,12.0,5,12,1,2,6,4,31059.0,30,True
229,202x,15,6,1,1739,1486,117.03,5,Finalist,18,25.1,11.0,18.0,14,18,3,1,8,4,35579.0,35,False
562,202x,10,12,0,1644,1796,91.54,10,,18,25.8,6.0,18.0,10,18,3,3,5,2,20403.0,39,True
849,193x,11,7,0,1509,1441,104.72,5,,12,25.0,5.0,12.0,8,12,4,2,4,1,19081.0,32,True
41,191x,9,8,1,1243,1052,118.16,7,,10,24.2,4.0,10.0,7,9,0,4,3,2,10068.0,36,True
557,201x,13,8,0,2107,1821,115.71,7,Finalist,18,24.6,10.0,18.0,5,18,3,1,6,3,39432.0,32,False
249,192x,12,4,1,1273,919,138.52,3,Finalist,12,25.1,8.0,9.0,3,12,1,0,5,3,20614.0,31,True
142,196x,4,14,0,1004,1458,68.86,10,,12,22.1,10.0,12.0,12,12,0,1,0,0,17022.0,39,True
1285,202x,10,12,0,1752,1880,93.19,9,,18,25.9,5.0,18.0,17,18,2,3,3,1,30163.0,37,False
1425,197x,16,6,0,2496,2120,117.74,2,Premier,12,23.4,2.0,12.0,7,12,4,3,9,5,27559.0,33,True
1126,201x,14,8,0,2101,1825,115.12,6,Finalist,18,23.7,14.0,18.0,7,18,4,4,5,2,28485.0,40,True
761,195x,1,17,0,861,1897,45.39,12,,12,22.9,12.0,12.0,11,12,1,0,0,0,14698.0,45,True
1192,202x,5,12,0,890,1077,82.64,16,,18,24.0,15.0,18.0,6,18,3,5,2,1,5229.0,39,False
1241,200x,9,13,0,1900,2151,88.33,13,,16,23.5,16.0,16.0,5,16,3,2,0,2,24009.0,34,False
1477,201x,3,19,0,1770,2872,61.63,17,,18,23.3,17.0,18.0,18,18,1,1,1,1,22775.0,40,False
596,201x,7,15,0,1742,2193,79.43,14,,17,23.8,11.0,16.0,2,18,2,3,2,2,30559.0,39,False
1594,201x,2,20,0,1455,2691,54.07,17,,18,24.2,16.0,18.0,17,18,1,0,0,0,24929.0,39,True
676,192x,9,7,0,1128,1085,103.96,4,Finalist,9,24.2,8.0,9.0,5,9,3,3,5,3,16800.0,30,True
895,191x,11,4,1,1143,765,149.41,3,Finalist,9,25.4,3.0,10.0,4,4,2,1,4,3,22841.0,28,True
1500,192x,15,3,0,1559,1035,150.63,1,Premier,12,24.2,1.0,12.0,1,12,3,2,8,4,20987.0,27,True
386,197x,15,7,0,2347,2072,113.27,3,Finalist,12,24.2,1.0,12.0,3,12,3,2,8,3,39223.0,37,True
323,197x,6,16,0,2033,2354,86.36,12,,12,23.2,5.0,12.0,1,12,1,6,2,1,26582.0,40,True
454,199x,12,10,0,2016,2031,99.26,7,,14,23.9,13.0,14.0,10,15,3,1,7,2,20306.0,37,True
328,193x,12,6,0,1877,1504,124.8,3,Finalist,12,25.4,3.0,12.0,5,12,3,5,6,3,23800.0,35,True
1148,193x,15,3,0,1572,1038,151.45,1,Premier,12,24.5,4.0,12.0,5,12,2,3,6,4,18333.0,29,True
1365,189x,9,5,0,509,445,114.38,4,Finalist,8,23.8,,,2,8,4,4,4,3,6000.0,31,True
1225,193x,11,7,0,1624,1464,110.93,5,,12,25.5,3.0,12.0,1,12,3,3,4,5,17135.0,36,True
435,195x,3,15,0,974,1421,68.54,12,,12,23.4,11.0,12.0,9,12,1,1,2,1,10472.0,36,True
568,196x,5,15,0,1413,1710,82.63,10,,12,22.6,12.0,12.0,11,12,1,3,2,2,13999.0,38,True
609,201x,12,10,0,1941,1810,107.24,7,Finalist,18,24.6,13.0,18.0,7,18,2,2,5,3,30476.0,34,True
1533,190x,10,8,0,966,996,96.99,4,Finalist,10,25.1,4.0,8.0,3,10,3,2,3,3,28856.0,32,True
732,192x,7,9,0,1039,1129,92.03,5,,9,25.4,2.0,9.0,8,9,4,3,1,2,21244.0,35,True
915,201x,12,9,1,2044,1847,110.67,7,Finalist,16,24.3,9.0,16.0,3,17,5,4,3,3,41950.0,34,True
1320,195x,8,10,1,1579,1390,113.6,8,,12,23.6,3.0,12.0,4,12,3,6,5,3,21632.0,37,True
912,196x,4,14,0,1193,1655,72.08,11,,12,21.9,12.0,12.0,11,12,1,2,2,2,13468.0,38,True
234,197x,18,4,0,2469,2098,117.68,2,Runner-up,12,23.2,3.0,12.0,2,12,7,1,9,3,38802.0,36,True
803,195x,10,8,0,1452,1314,110.5,5,,12,25.0,7.0,12.0,5,12,3,3,4,5,15340.0,31,True
925,199x,14,8,0,2414,2002,120.58,5,Finalist,14,25.6,1.0,14.0,2,15,2,2,5,3,31761.0,35,True
1082,198x,15,6,1,2647,2024,130.78,3,Runner-up,12,25.7,2.0,12.0,1,12,1,2,6,3,27893.0,32,True
825,197x,7,14,1,2085,2518,82.8,9,,12,21.9,10.0,12.0,10,12,2,3,2,0,20020.0,38,True
68,196x,8,12,0,1434,1709,83.91,8,,12,22.8,7.0,12.0,12,12,7,5,4,1,21507.0,38,True
403,202x,7,15,0,1616,1971,81.99,15,,18,23.9,18.0,18.0,14,18,3,4,2,2,22607.0,37,False
594,191x,13,2,1,1108,770,143.9,2,Premier,9,25.4,1.0,10.0,1,4,4,0,7,5,23442.0,28,True
25,194x,12,7,0,1516,1341,113.05,5,,12,25.2,2.0,12.0,3,12,3,5,6,3,20102.0,37,True
218,198x,4,16,2,1872,2704,69.23,11,,12,23.7,12.0,12.0,10,12,3,0,1,1,21451.0,47,True
1327,190x,7,11,0,932,852,109.39,7,,10,24.6,5.0,8.0,6,10,0,8,4,2,8000.0,33,True
1299,194x,7,12,0,1512,1826,82.8,10,,12,24.1,8.0,12.0,10,12,1,1,4,2,18379.0,38,False
550,199x,12,9,1,2349,2033,115.54,7,,15,24.6,2.0,14.0,3,15,1,0,5,4,32330.0,33,True
